,visit_id,name,num_nodes,num_edges,nodes_div_by_edges,edges_div_by_nodes,in_degree,out_degree,in_out_degree,ancestors,descendants,closeness_centrality,average_degree_connectivity,eccentricity,is_parent_script,is_ancestor_script,ascendant_has_ad_keyword,is_eval_or_function,descendant_of_eval_or_function,ascendant_script_has_eval_or_function,ascendant_script_has_fp_keyword,ascendant_script_length,num_get_storage,num_set_storage,num_get_cookie,num_set_cookie,num_script_predecessors,num_script_successors,num_requests_sent,num_requests_received,num_redirects_sent,num_redirects_rec,max_depth_redirect,indirect_in_degree,indirect_out_degree,indirect_ancestors,indirect_descendants,indirect_closeness_centrality,indirect_average_degree_connectivity,indirect_eccentricity,indirect_mean_in_weights,indirect_min_in_weights,indirect_max_in_weights,indirect_mean_out_weights,indirect_min_out_weights,indirect_max_out_weights,num_set_get_src,num_set_mod_src,num_set_url_src,num_get_url_src,num_set_get_dst,num_set_mod_dst,num_set_url_dst,num_get_url_dst,indirect_all_in_degree,indirect_all_out_degree,indirect_all_ancestors,indirect_all_descendants,indirect_all_closeness_centrality,indirect_all_average_degree_connectivity,indirect_all_eccentricity,content_policy_type,url_length,is_subdomain,is_valid_qs,is_third_party,base_domain_in_query,semicolon_in_query,screen_size_present,ad_size_present,ad_size_in_qs_present,keyword_raw_present,keyword_char_present
0,3063639692373196,https://assets.adobedtm.com/79b3942b8dfa/59af1e6a08aa/ebbfdbdecab5/RCc6e694fce3ed479f88886499bed532ce-source.min.js,312,628,0.4968152866242038,2.0128205128205128,2,0,2,3,0,0.0072347266881028945,1.7166666666666666,-1,0,1,1,0,0,1,1,415287,0,0,0,0,0,0,0,1,0,0,0,1,1,24,0,0.08570153251004314,0.0,3,4.0,4.0,4.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,1,0,3,3,30,0,0.045217041800643086,0.0,-1,script,115,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://www.youtube.com/s/player/da154528/www-widgetapi.vflset/www-widgetapi.js,312,628,0.4968152866242038,2.0128205128205128,2,2,4,5,2,0.007307804735457468,2.7708333333333335,-1,0,1,1,0,0,1,1,415287,2,0,2,0,0,0,0,1,0,0,0,2,2,25,0,0.09105477855477856,0.0,3,2.0,2.0,2.0,-1.0,-1.0,-1.0,0,0,0,0,1,0,1,0,4,4,32,2,0.04914335077026443,0.6666666666666666,-1,script,79,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://www.synopsys.com/content/dam/synopsys/homepage/2021/imagery/purple-footer.png,312,628,0.4968152866242038,2.0128205128205128,1,6,7,1,17,0.003215434083601286,6.1098901098901095,-1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,1,0,1,1,23,23,24,12,0.16111888111888112,0.6857142857142857,3,3.4166666666666665,1.0,4.0,1.0,1.0,1.0,0,0,0,12,21,0,3,0,24,24,29,17,0.0711626332712811,7.439024390243903,-1,image,85,1,1,0,0,0,0,0,0,0,0
0,3063639692373196,https://images.synopsys.com/is/image/synopsys/purple-footer-1?$responsive$&dpr=off,312,628,0.4968152866242038,2.0128205128205128,1,12,13,2,12,0.004287245444801715,9.923076923076923,-1,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,1,0,0,0,4,4,24,0,0.09154481881754609,0.0,3,2.3333333333333335,1.0,8.0,-1.0,-1.0,-1.0,0,0,0,0,3,0,3,0,5,5,30,12,0.04989466681450272,8.941176470588236,-1,image,82,1,1,0,0,0,0,0,0,0,0
0,3063639692373196,https://cm.everesttech.net/cm/dd?d_uuid=14578107721755716464288238188251179236,312,628,0.4968152866242038,2.0128205128205128,1,3,4,1,6,0.003215434083601286,2.7708333333333335,-1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,1,2,2,36,13,0.12414982277995977,7.666666666666667,3,2.0,2.0,2.0,1.0,1.0,1.0,0,0,1,0,0,0,2,0,3,3,53,42,0.065450393774174,4.666666666666667,-1,image,78,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://dpm.demdex.net/ibs:dpid=411&dpuuid=ZYMe6gAAAKABFgN-,312,628,0.4968152866242038,2.0128205128205128,1,3,4,2,3,0.004287245444801715,2.7708333333333335,-1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,0,11,11,36,13,0.1461764042409204,7.695652173913044,3,1.0,1.0,1.0,1.5,1.0,2.0,8,6,4,0,9,1,2,0,11,11,53,42,0.07786339948996562,9.615384615384615,-1,image,59,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://cm.g.doubleclick.net/pixel?google_nid=adobe_dmp&google_cm&gdpr=0&gdpr_consent=&google_hm=MTQ1NzgxMDc3MjE3NTU3MTY0NjQyODgyMzgxODgyNTExNzkyMzY=,312,628,0.4968152866242038,2.0128205128205128,2,4,6,2,10,0.006430868167202572,18.833333333333332,-1,1,1,1,0,0,1,1,415287,0,4,0,4,1,0,2,3,2,2,1,3,3,37,3,0.12764568764568765,2.4,3,2.3333333333333335,1.0,4.0,1.0,1.0,1.0,1,4,0,0,0,1,2,0,4,4,53,42,0.06641289956497068,3.111111111111111,-1,image,149,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://cm.g.doubleclick.net/pixel?google_nid=adobe_dmp&google_cm=&gdpr=0&gdpr_consent=&google_hm=MTQ1NzgxMDc3MjE3NTU3MTY0NjQyODgyMzgxODgyNTExNzkyMzY=&google_tc=,312,628,0.4968152866242038,2.0128205128205128,2,6,8,3,9,0.0072347266881028945,1.40625,-1,1,1,1,0,0,1,1,415287,3,6,3,6,1,0,2,3,0,2,2,4,4,38,2,0.13286713286713286,1.8571428571428572,3,1.125,1.0,2.0,1.0,1.0,1.0,3,1,0,0,2,4,2,0,4,4,53,42,0.06690484696915565,5.923076923076923,-1,image,161,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://dpm.demdex.net/ibs:dpid=771&dpuuid=CAESEFcfAhzx5pUyFT1cohGzDys&google_cver=1?gdpr=0&gdpr_consent=,312,628,0.4968152866242038,2.0128205128205128,1,3,4,4,3,0.006430868167202572,2.7708333333333335,-1,0,1,1,0,0,1,1,415287,3,2,3,2,0,0,0,1,0,0,0,10,10,36,13,0.14385614385614387,8.666666666666666,3,1.5833333333333333,1.0,2.0,1.75,1.0,2.0,8,0,0,0,9,2,1,0,11,11,53,42,0.07854047252900881,9.545454545454545,-1,image,105,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://dpm.demdex.net/ibs:dpid=771&dpuuid=CAESEMyuJQlZ5wHGz6_-HNmqRPE&google_cver=1?gdpr=0&gdpr_consent=,312,628,0.4968152866242038,2.0128205128205128,2,3,5,4,3,0.00857449088960343,20.46086956521739,-1,1,1,1,0,0,1,1,415287,6,4,6,4,1,0,0,2,0,0,0,10,10,36,13,0.14385614385614387,8.666666666666666,3,1.5833333333333333,1.0,2.0,1.75,1.0,2.0,8,0,0,0,9,2,1,0,11,11,53,42,0.07854047252900881,9.545454545454545,-1,image,105,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://match.adsrvr.org/track/cmf/generic?ttd_pid=aam&gdpr=0&gdpr_consent=&domain=www.synopsys.com&ttd_tpi=1,312,628,0.4968152866242038,2.0128205128205128,2,5,7,2,10,0.006430868167202572,6.1098901098901095,-1,1,1,1,0,0,1,1,415287,0,6,0,6,1,0,2,3,2,2,1,4,4,24,25,0.08951048951048951,8.526315789473685,3,2.0,1.0,4.0,1.206896551724138,1.0,2.0,6,12,9,2,0,2,3,0,5,5,29,54,0.04662379421221865,9.833333333333334,-1,image,109,0,1,1,0,0,0,0,0,1,1
